device_make	device_model	_col2
SHARP	SH-03K	710
TABI_by_t_go	TGO_TB1001_4RO	69
samsung	SM-T713	793
HUAWEI	POT-LX1AF	220
Acer	A10-21	168
Xiaomi	23124RN87C	668
HUAWEI	ARE-L22HN	548
Premier Code (PRIVATE) LIMITED	DS-BD2	43
Bullitt	Motorola Defy	407
VIOS	VTAB7	8
Acer	P10-21	107
GREATASIA	E720_EEA	24
DEERTiME	E9_EEA	68
HUAWEI	DUA-L22	184
Teclast	Webee_Tab_8	89
SHARP	SH-M09	32
ARCHOS	ARCHOS T110 FHD 4G ULTRA	41
Mobiwire	H5111L_MTN	19
itel	itel P682LP	96
INFINIX	Infinix X6726B	20
Futurestar	connect 2 US	4
KENSHI	H16	62
HanZhong	P88_Pro	7
UMIDIGI	TG4FBG9TA	108
vivo	V1836A	5
realme	RMX5060	9
asus	ASUS_AI2401_D	28
WIKO	W-V730-EEA	5
ZTE	Z6356T	6
A-gold	F1	9
Acer	ATAB1021E	12
pura70	pura70	6
alps	A84_5G	2
incar	S9	1
G-Tab	S8X	4
Hisense	Hisense H50 Lite	3
VIPER	Z08MK	7
vivo	V2011A	3
LENOVO	LIFETAB E1071X	7
HONOR	CMA-LX3	4322
vivo	V2111	33698
motorola	motorola razr plus 2025	25
motorola	moto g(60)s	9517
Teclast	M40 Pro_ROW	509
INFINIX MOBILITY LIMITED	Infinix X688B	14549
BMAX	I9_Plus	959
Kalley	Black_3	120
FCNT	M06	223
samsung	SM-S931U1	1073
TCL	6102H	797
JOYAR	100011886	173
TECNO MOBILE LIMITED	TECNO CE9	174
HELLCAT	TAB8	268
vivo	V2436A	59
TECNO	TECNO KG5p	373
samsung	SM-F966B	34
samsung	SM-G398FN	1108
samsung	SM-G955N	180
Blackview	BV8200	181
realme	RMX5030	99
Xsmart	Xsmart Mate 10	318
OUKITEL	WP2	5
LGE	LG-US601	32
IRIS_OHYAMA	TM103M4	1
HEZIRE	HBook-Pro	53
ACE France	BUZZ 5 Note	60
bnd	TAB_A8_EEA	8
ZTE	P602	112
incar	E10	72
Innovatech	C8	21
Huion	KamvasSlate10	22
LGE	LM-F100N	16
skythtek	M13	39
Sony	H9436	8
YHKJ	HD7	8
DIGMA	Optima 1442E 4G TS1290PL	15
veidoo	T80_PLUS	16
BQru	BQ-6040L	12
hena	L80	1
VORCOM	S12	2
sprd	K102	8
greatwall	100011886_GTW	8
Zebra Technologies	TC58	8
incar	Wave_i101MC	3
Hisense	Hisense F19	3
INOI_Limited	A350	4
HUAWEI	MRDI-W09	1
F13Pro	F13Pro	1
TechPad	Z10	1
Xiaomi	23122PCD1G	12883
INFINIX	Infinix X669D	31025
motorola	moto g22	26703
samsung	SM-A165F	90885
samsung	SM-A105FN	1560
samsung	SM-N985F	4085
LENOVO	Lenovo TB-J616F	7224
Xiaomi	2404APC5FG	7873
vivo	V2351	23950
HUAWEI	NAM-AL00	48
LENOVO	TB331FC	5216
samsung	SM-G611F	3542
samsung	SM-G9730	1103
TECNO MOBILE LIMITED	TECNO LE6	2857
samsung	SM-A546W	1061
INFINIX MOBILITY LIMITED	Infinix X6511E	479
TECNO	TECNO LG7n	6674
Xiaomi	M2006C3MT	151
HUAWEI	GFY-LX1	2186
Sony	SO-03J	143
samsung	SM-A530W	475
LGE	LGL555DL	14
Casper	VIA_E4	91
samsung	SM-X616C	74
Xiaomi	Redmi Y2	26
samsung	SCV42	273
EPIKONE	X655	22
i-PLUS	Omega8	19
HUAWEI	BLA-A09	40
Teracube	Teracube 2s	16
iKU	X5	63
SSmooth	Smooth Note 6.8	35
Sony	G3212	30
CEYKOO	CK70	17
WALTON	Primo R6	2
DOOGEE	V Max Pro	15
alps	X19PRO	9
Sony	XQ-CT44	47
LAVA	LXX522	19
Bubblegum	Junior_7	6
CWOWDEFU	P35W_EEA	25
HUAWEI	LYA-L0C	3
HUAWEI	AMN-LX9	6
Rui Mingxin	A16	2
wintouch	K715	5
HIGRACE	G15	2
FIH	EA1002	1
samsung	SM-G736U	510
vivo	V2434	6266
FancyDay	C10	1203
Multilaser	M7_WIFI	2118
OPPO	CPH2659	243
realme	RMX3261	13229
HONOR	JDY-LX3P	6926
samsung	SCG07	889
realme	RMP2204	2868
INFINIX	Infinix X672	649
TECNO	TECNO CM7	1622
OnePlus	CPH2413	1791
motorola	motorola edge 30 fusion	1162
TCL	T442J	46
TINNO	P710	570
HUAWEI	MAR-LX1B	2999
samsung	SC-02K	983
SHARP	SH-54B	641
Xiaomi	Mi A2	3039
Thomson	Origin_679_Pro	489
ZTE	ZTE 8010	697
HUAWEI	DBR-W09	61
OSCAL	C70	155
Skyth	G10_US	123
vivo	vivo Y93	920
realme	RMX3852	237
HUAWEI	JLN-LX1	830
KYOCERA	901KC	81
FCNT	F-52B	171
alps	S23_Ultra	120
OUKITEL	WP16	59
alps	AT15 Pro Max	45
WALTON DIGI-TECH INDUSTRIES LTD	WALPAD_8G	48
Sony	H4413	133
OnePlus	IN2020	80
generalmobile	GM 6 d	40
SIGMA_MOBILE	Tab A1015	25
onn	PP86AW	16
incar	P80	52
HMD Global	HMD AURA2	96
TEM	Z2	30
Ulefone	Armor 27T Pro	11
samsung	SM-S426DL	37
Welcome	I16 Pro max	123
wotronics	AZIMUT_4_PRO	81
alps	Neo6	23
wheatek	Cyber X	34
HiKING	A41	31
CIDEA	CM7800plus	8
ECONNECT	SQ126G	2
LENOVO	Lenovo TB-7504X	20
Rebecco	K70_ROW	27
Universal Exports Group Ltd.	BL.9UEEP.209	7
LGE	LM-X410.FN	8
Logicom	E884	17
Alldocube	iPlay_70_Pro	1
ZTE	ZTE 7543N	3
samsung	SM-A155M	62387
OPPO	CPH2249	2412
Xiaomi	220333QL	8572
motorola	moto g31	7040
samsung	SM-S916B	13500
Xiaomi	M2101K6G	59700
motorola	moto e32	12690
OPPO	CPH2095	9061
onn	100135923	15427
OPPO	CPH2375	13556
A15 Max	A15 Max	481
samsung	SM-A3360	685
HUAWEI	LYA-L29	5676
HUAWEI	MAR-LX1H	9533
Xiaomi	22111317PI	2312
OnePlus	KB2003	1641
alps	pro13	116
OnePlus	CPH2573	2814
OnePlus	ONEPLUS A6000	2173
Ulefone	Armor 9	121
LGE	LGV35	269
INONE	AE9260	363
Xiaomi	23043RP34I	3517
motorola	Moto Z3 Play	302
OPPO	CPH2753	791
Innovatech	PM82T	76
samsung	SM-N981W	133
ZTE	A003ZT	326
HUAWEI	WLZ-AN00	16
realme	RMX2075	68
Skyth	P1200	77
realme	RMX3687	206
motorola	Lenovo K12	170
OPPO	PDPM00	26
Meizu	15 Lite	193
KXD	A06	84
Casper	VIA_A3_Plus	61
Archos	Tikeasy 10d	96
GFIVE	4G Smart	1
Teclast	i14 Pro	27
asus	ASUS_AI2202_C	7
incar	P40-EEA	11
S27	Tab_S27_Ultra_Pro	7
MobiWire	S64	12
INNOCN	32S1U_Pro	12
along	Stratus_C5_Elite	3
TECNO MOBILE LIMITED	TECNO CF7	9
Hisense	Hisense M71 Pro	2
FYD	IM-L801	23
HUAWEI	HUAWEI CAN-L12	6
samsung	SM-T377V	6
incar	M8_Pro	8
LT	LT_6217	2
Blackview	BV5300	1
Sony	J9260	1
Zeki	TBOG1034	1
samsung	SM-M127F	27339
samsung	SM-A546E	88366
INFINIX	Infinix X6528	24819
samsung	SM-A715F	70032
vivo	V2401	3279
ITEL	itel A666L	1680
motorola	motorola one macro	4814
INFINIX	Infinix X668C	2322
motorola	moto g pure	603
realme	RMX2161	1763
DOOGEE	S68Pro	107
realme	RMX3395	952
OPPO	CPH2751	2178
UJJ	U3_EEA	30
Odea	A10	337
vivo	V2309	981
BLU	VIEW 1	9
Ulefone	Armor 8 Pro	387
OPPO	CPH2009	854
SE Pro	SE Pro	66
Coolpad	CP03	602
OnePlus	LE2125	525
WALTON	NEXG N6	191
HUAWEI	PPA-LX3	427
Multilaser	Multilaser_G_2	133
SEBBE	S23_T_EEA	156
A16 Pro	A16 Pro	40
OPPO	PBAT00	14
DIGMA	CITI 8443E 4G CS8271PL	44
samsung	SM-J400G	31
incar	HiPad XPro	36
TCL	5030M	36
LGE	LM-V500N	59
UMIDIGI	UMIDIGI Note 100A	27
HUAWEI	WAS-LX2J	5
DOOGEE	S100Pro	26
TCL	5030I	4
VANKYO	S20_EEA	1
Sony	SOG15	11
Coosea	SL004T	1
LINSAY	F10XIPGPLUS	1
vivo	vivo Y93s	1
samsung	SM-A346E	77578
Xiaomi	2201117TG	37506
TECNO	TECNO KJ7	6954
INFINIX	Infinix X6837	18077
samsung	SM-G990E	31193
Google	Pixel 6	13449
vivo	vivo 1819	2702
samsung	SC-56C	1570
Teclast	M50_EEA	2396
KYOCERA	E7200	144
OPPO	PBEM00	305
Hisense	Hisense E70 Pro	231
samsung	SM-A135U1	535
ALLDOCUBE	U1006H	265
OMIX	X6	719
OUKITEL	C35	207
NEC	LAVIE Tab 10FHD3	1249
Kogan	KATB10128WPA	37
samsung	SCG06	160
DIGMA_PRO	Zenith TA3D1P01	331
vivo	V2044	51
Google	nissa	730
Nothing	A001	580
vivo	vivo Y66	172
SGIN	T10S	1124
KYOCERA	A205KC	156
HONOR	REA-AN00	164
ZTE	ZTE Blade A31 Plus	365
BLU	G64L	51
asus	ZE554KL	175
GDL	GigaX Y30	71
OPPO	OPD2420	58
meanit	meanit X50	14
STG	STG X2	10
samsung	SM-J337T	2
Smart_Products_Connection_SA	Discovery Pro	4
OPPO	CPH1827	8
TIGERS	TIS001_S4	2
HONOR	DNP-AN00	1
Mintt	COOLMINTT NIU	3
DEXP	BL155	2
Xiaomi	2312DRAABG	16553
vivo	V2349	208
samsung	SM-A505W	807
samsung	SM-A530F	13376
OPPO	CPH1851	548
samsung	SM-T835	4149
HONOR	ELI-NX9	9856
Deploy PVT LTD	Sparx Neo 7 Ultra	2125
HONOR	RBN-NX1	2826
ATVIO	MID1032	171
vivo	V1965A	608
realme	RMX2156	2463
samsung	SM-F956U1	755
Xiaomi	23046RP50C	818
HUAWEI	LLD-L21	451
OnePlus	NE2215	625
LENOVO	TB360ZU	433
motorola	motorola edge 2023	603
LAVA	LAVA LZX414	327
SUGAR	SUGAR_P11	3
Xiaomi	MI CC 9e	175
incar	CP30	46
Chitech	A10_L	224
OPPO	OPG04	361
incar	ALFA 8TX	109
Tech_Pad	X11	15
vivo	vivo Y73s	77
AWOW	UTBook_14	69
IMG	SIRIUS TAB 8	497
UMIDIGI	MT06	16
HUAWEI	HRY-LX2	49
Reliance Communications	RC609L	17
hena	EPIC_3	6
TCL	5030F_EEA	30
ZTE	ZTE A71 5G	41
vivo	V2278A	148
Skyth	X900_EEA	93
HUAWEI	BRQ-AL00	26
samsung	SM-G930R4	18
WALTON	XANON X21	12
samsung	SM-T560NU	11
incar	A10	7
samsung	SM-A013G	30
samsung	SCT22	52
incar	T10_Pro	21
samsung	SM-G930V	158
ACE France	BUZZ 4S	23
Proton	X10 Pro	5
positivo	T2050C	21
DOOGEE	S61	53
ugee	UT3	3
BQru	BQ-7040G	41
manufacturer	model	6
SHARP	SHG01	3
LENOVO	Lenovo P1ma40	3
Welcome	A75	3
Honeywell	EDA51K	1
OPPO	S23	4
samsung	SM-N910V	5
ZUUM	MAGNO P3	3
Advanced_Technologies_SRL	Magnet_G50_Pro	1
SHARP	SHV43-u	1
Oangcc	J5_US	1
TECNO MOBILE LIMITED	TECNO KA7O	2
Calme	4G Prime	2
MAXCOM	MS572	1
ulefone	Power_3	1
samsung	SM-A165M	13651
vivo	V2066	1861
Xiaomi	Mi 9T Pro	1933
INFINIX	Infinix X6531	13981
vivo	V2204	29064
vivo	V2037	10822
realme	RMP2106	5243
CUBOT	KINGKONG 8	885
Xiaomi	220333QBI	12594
Xiaomi	2207117BPG	17766
OPPO	CPH1803	8292
samsung	SM-G781U1	2330
HENA	H20	3003
samsung	SM-M346B	10615
HONOR	RKY-LX1	14248
Xiaomi	Mi A3	10869
Xiaomi	A401XM	3733
FCNT	A101FC	3000
OPPO	CPH2013	985
samsung	SM-G930L	118
HUAWEI	ALP-L09	1284
OnePlus	CPH2409	2594
CORN	Play25_Pro_4G	104
INFINIX MOBILITY LIMITED	Infinix X687B	790
HMD Global	Nokia G22	866
OPPO	CPH1903	861
OPPO	PDBM00	98
samsung	SM-J710MN	1720
Sky Devices	X8Pro	341
Clementoni S.p.A.	Neo_Clempad_2021	521
motorola	moto e6 (XT2005DL)	29
ACE France	BUZZ 3 Lite	19
alps	S23 Ultra	79
HUAWEI	CDY-NX9B	236
realme	RMX2085	89
PCBOX	PCB_T801	14
WALTON	ORBIT Y70	45
OUKITEL	OT5	433
nubia	NX711J	98
samsung	SM-G611M	65
INFINIX MOBILITY LIMITED	Infinix X659	83
Kvadra	KVADRA_T	134
OPPO	PCGM00	10
TECLAST	T40 Pro_ROW	47
samsung	SM-S124DL	74
MAJESTIC	TAB_920_PLUS_4G	16
CUBOT	X19	6
HOMETECH	Alfa7LM	11
meizu	MEIZU Lucky 08	37
Alco	VCT9B06Q23EU	6
incar	Kids10	1
KW16	KW16	1
Multilaser	ULTRA_10	17
LENOVO	LIFETAB E1070X	16
HUAWEI	TRT-LX3	5
TECNO MOBILE LIMITED	TECNO BE7	16
CMDC	M760	2
Meizu	meizu M8	2
AIDATA	TAB-WP11	1
samsung	SM-N960F	16852
vivo	V2207	20643
motorola	motorola edge 50	4035
samsung	SM-G965U	6554
vivo	V2418	1092
OPPO	CPH2473	14263
samsung	SM-E156B	24932
realme	RMX2195	3790
OPPO	CPH2199	1015
OPPO	CPH2373	3820
realme	RMX3191	4595
HUAWEI	VOG-TL00	1085
samsung	SC-51A	1492
TECNO MOBILE LIMITED	TECNO CD7	907
Blackview	Tab 7 WiFi	423
HUAWEI	HMA-L29	1982
MEIZU	Mblu 21	1492
DOOGEE	Smini	733
LGE	LM-X430	1653
Xiaomi	M2105K81AC	774
samsung	SM-A146W	145
samsung	SM-J415F	305
Fortune Ship	HTC A101	242
SHARP	SH-M08	368
Acer	Acer_One_10_T8-129L	8
Deejoy	V9X	70
Mobicel	IX PRO	10
Sparx	Neo 5 Pro	14
HUAWEI	ALT-AL10	62
SHARP	SH-M07	88
W&O	X25 Ultra	30
FISE	Q624H	35
YosaToo	Y8	236
Xiaomi	Redmi K30 Pro	99
samsung	SM-X306B	37
Xiaomi	blue	5
iGET	SMART L31	9
HUAWEI	HRY-AL00	37
alps	KA107	5
hena	EM103A	61
HUAWEI	JSC-AN00	9
realme	RMX3517	43
Techino	E1308	25
Xiaomi	24129RT7CC	3
incar	PSTA111	4
alps	Pova6 pro	12
TCL	T790B	8
vivo	V2227A	2
Chitech	A30	5
samsung	SM-J330N	2
weelikeit	C81W_EEA	1
DIGMA	Optima 1304C 4G TS1292PL	7
OPPO	OPPO CPH1723	3
HUAWEI	AGS-L03	5
alps	MES-B3	10
HONOR	ELN-W09	41279
samsung	SM-A042F	21455
OPPO	CPH2683	3662
SHARP	d-51C	4823
vivo	vivo 2018	3065
samsung	SM-X700	6826
PRITOM	L8	1540
asus	ASUS_X00QD	259
Reliance Communications	R678L5	78
samsung	SM-A715W	1520
motorola	motorola one 5G UW	1035
Pixus	Pixus_Hammer	132
samsung	SM-A516V	1031
samsung	SM-G525F	2108
OnePlus	ONEPLUS A5010	1341
samsung	SAMSUNG-SM-J727AZ	64
TCL	T790S	458
samsung	SM-G965W	1095
HUAWEI	HBN-LX9	300
Sony	SOG14	269
Casper	VIA L40	565
LGE	LM-T600	977
VESTEL	V TAB Z1 A	429
TablePC	TablePC	79
G-Tab	T8	702
samsung	SCG19	183
samsung	SM-G930K	63
motorola	Moto G (5) Plus	57
SHARP	SHV43	111
motorola	Moto G (4)	68
ATM	R5	10
TECNO MOBILE LIMITED	TECNO CD8	156
Xiaomi	Mi MIX 3	9
P25	P25	358
reeder	P13 Blue MaxL 2022	242
HTC	HTC One A9s	11
DIGMA_PRO	Spark TA1C8M01	254
SNCOIA	QT2108KB	17
SHARP	605SH	123
INCAR	S22_T_US	100
TG30	TG30	124
mid	MQ1022MA	16
incar	Q3-EEA	97
Mobicel	F51	114
OSCAL	Pad 5 Kids	49
WiseTech	WiseTech Note 12	6
BMAX	I10_Pro	6
Smart phone	Smart phone	28
BLU	G80	24
samsung	SC-55C	16
sprd	S32960E_221_V10_WXGA_10INCH_Natv	8
Oangcc	A9_US	3
Xiaomi	2308CPXD0C	12
samsung	SM-A015AZ	23
alps	Q2i	3
Sony	XQ-BE72	10
realme	RMX3619	6
CUBOT	CUBOT_P20	5
DOOGEE	S70	1
ZTE	BLADE V9	4
vivo	V2231A	1
HUAWEI	NEN-L22	77
motorola	moto g(9) plus	7701
Wingtech	TMRV075G	4782
Xiaomi	M2006C3LII	12109
Casper	VIA M30	309
TECNO	TECNO BF7	7066
Xiaomi	2312DRAABI	16129
ZTE	A302ZT	6304
samsung	SM-S711W	2158
Sony	A002SO	406
samsung	SM-F926U1	255
samsung	SM-A305GT	3708
LENOVO	Lenovo TB-7306X	974
vivo	V2254	5086
vivo	V2441	1774
OnePlus	CPH2707	209
OnePlus	CPH2513	833
samsung	SC-53A	328
Hisense	Hisense U965	415
OPPO	RMX1805	858
Siragon	Siragon_SP_7200	77
samsung	SM-S721N	492
ITEL	itel S667LN	313
samsung	SM-A346N	823
GTX	GTX_JACULUS_01	177
PRITOM	K7	390
alps	S25Ultra	27
TECNO	TECNO BF7h	69
Razer	Razer Edge 5G	17
asus	ZB633KL	60
samsung	SM-J415FN	218
DOOGEE	Tab A9	76
Doro	Doro Tablet	170
motorola	motorola razr 50s	63
Lenovo	Lenovo TAB 2 A10-70L	60
PREMIO	Z1	51
samsung	SM-X218B	166
vivo	vivo Y91C	21
Semeakoko	SS-35_EEA	56
samsung	SM-A826S	145
Pura60	Pura60	92
samsung	SM-F9660	19
K107	K107	12
Skyth	M-F1010-EEA	4
WALTON	Primo RX8 Mini	12
MITO	T8	11
PEP A DIVISION OF PEPKOR TRADING (PTY) LTD	MAVERICK	5
TECNO MOBILE LIMITED	TECNO KC1j	9
alps	T10-LHD	8
OPPO	OPPO R9s	3
HUAWEI	RVL-AL09	4
alps	GT30 Ultra	7
vipro	Balou Childtab XL	4
SHARP	SH-R70	4
OPPO	PHU110	1
TCL	5031G	5
Chinoe	F9	41
samsung	SM-A137F	65371
asus	ASUS_A001D	526
vivo	V2416	16921
vivo	V2027	15759
OPPO	CPH2321	4170
samsung	SM-F741U	2254
FOSSiBOT	J12	265
incar	K12E_ROW	235
HUAWEI	BTK-W09	484
TECNO	TECNO CL7k	328
Sony	SO-51E	191
samsung	SM-A307GT	4360
wheatek	RT5	1584
HMD Global	Nokia XR20	414
Teclast	M50 Pro	1296
Hisense	Hisense Y81 Pro	514
hitabt	K30A	73
TECNO	TECNO KH7S	238
INFINIX	Infinix X666B	495
CUBOT	TAB 60	36
Blackview	A55 Pro	249
KENSHI	E17	1705
TECNO MOBILE LIMITED	TECNO KG7n	1412
Vestel	Venus e5	40
LGE	LM-X520	251
Alldocube	Smile_X	202
TCL	TM101	65
ACE France	BUZZ 7 Prime	10
incar	SP5702	5
Samsung	SM-S908U	90
alps	S23Ultra	89
WIKO	W-V680-OPE	151
BEBE-TAB	B-80P	8
NST	A10	9
Aspera Mobile	Buzz	28
Lechpol	KM1070	99
TCL	5030A	29
incar	K10	21
CTX	P70 Ultra	4
RUNYEE	BezosMAX 15mini	5
HONOR	BVL-N59	1
Xiaomi	22120RN86H	5
HUAWEI	ARS-L22	26
C1	C1	17
DIGMA	Digma Pro HIT 104 HS1009PL	14
Mobicel	P12	7
Hisense	Hisense U964	2
HONOR	DNN-AN00	2
incar	PMT4511_4G_EEA	2
Oyster_Labs	UBS1	1
Gtel	Gtel Vivo PLUS	4
incar	T15-EEA	1
incar	F12	2
samsung	SM-G925T	1
INFINIX MOBILITY LIMITED	Infinix X6812	4767
samsung	SM-A217M	28833
samsung	SM-A236M	6499
motorola	moto g(50) 5G	9567
samsung	SM-A115F	9486
realme	RMX2103	5805
vivo	V2344	9831
Xiaomi	M2006C3MI	3525
realme	RMX3686	4043
INFINIX MOBILITY LIMITED	Infinix X695D	562
samsung	SM-M546B	3259
Xiaomi	M2004J7AC	56
Masstel	Masstel Hapi 20	16
LENOVO	Lenovo YT-J706X	2954
TCL	T610P	670
samsung	SM-N986U	4965
realme	RMX1925	2803
samsung	SM-S928N	1650
OUKITEL	C57 S	670
samsung	SM-M017F	935
vivo	vivo 1718	651
ITEL	itel P665L	452
samsung	SM-J260MU	1
INFINIX MOBILITY LIMITED	Infinix X689C	879
Google	Mediatek MT8173 Chromebook	703
LGE	802LG	33
TECNO MOBILE LIMITED	TECNO CG6	135
OnePlus	BE2029	1611
Sony	A203SO	1593
Cat	S62	123
incar	A1010	112
A15Pro	A15Pro	21
Symphony	Z70	164
ZTE	ZTE 9050N	116
Blackview	N6000 SE	20
TRUE	Alpha 5G	91
samsung	SM-T715	40
OPPO	PCEM00	8
LENOVO	Lenovo TB-X705L	240
incar	X12	78
HUAWEI	LNA-LX9	99
XGODY	N02	40
BQru	BQ-5016G	37
Venus Pad16	Venus Pad16	23
Meizu	m2	14
SHARP	SH-M12	17
Premio	S57	4
incar	DMOAO_D2_US	27
incar	SGWIFIPAD320093	9
Dialn	X62	11
Innovatech	S20	3
Sony	XQ-ES72	10
B801	B801	3
alps	H11	7
SPRANGE	Sprange_L8	1
KYOCERA	KY-51B	1
samsung	SM-X816N	7
vivo	VIVO Y21S	1
Semeakoko	SS-35	3
Colors_Mobile	P52_Pride5C	1
realme	RMX3930	52026
OPPO	CPH2349	4893
Xiaomi	25010PN30G	712
SHARP	SH-52E	4940
realme	RMX2002	2475
Xiaomi	2312BPC51X	11052
Callsky	Callsky_Cpad8	427
samsung	SM-G9900	319
vsmart	Active 3	47
Teclast	T40 Air	334
Sony	H8416	8
okulaku	K12	312
realme	RMX3301	1006
HUAWEI	EVA-L09	159
Positivo	T820	21
TCL	9491G	19
WALTON	PRIMO N4	14
Blackview	Tab 3 Kids	271
Teclast	P50Mini_ROW	117
HUAWEI	LON-L29	76
samsung	SM-A102U1	68
Lava	Lava Be_U	90
Ulefone	Note 10	39
LAVA	LAVA LZG402 OM	60
Wingtech	T Phone Pro	505
Welcome	S23 Ultra	52
INFINIX MOBILITY LIMITED	Infinix X627	60
ZTE	ISE-T100C	28
Droi	A6_Max	5
LGE	LG-H932	108
iPad	k62v1_64_bsp	52
LGE	LM-X440IM	20
DIGMA	Platina 1579M 4G NS1800ML	5
HUAWEI	MRO-W09	87
Mobicel	VX21	88
samsung	SM-J737A	7
LANIX	Ilium Pad RX10v3	41
motorola	moto e5	8
AW_TAB10_14	AW_TAB10_14	4
alps	H30	12
samsung	SM-J700H	24
Xiaomi	Redmi 5A	23
alps	Reno13 Pro	5
OnePlus	PJZ110	37
POPO	P14	31
OSCAL	S80	17
TCL	5007S	8
samsung	SCL23	2
Xiaomi	Xiaomi MIX Fold 2	9
ASUS	ASUS Z906	1
RIO	RIOPAD_S10_Pro	1
motorola	moto g04	18212
HONOR	ALT-LX1	27908
samsung	SM-A127M	22350
LENOVO	TB310FU	93281
OPPO	CPH3669	3078
OPPO	CPH2641	32030
samsung	SM-A546U1	2619
ZTE	ZTE Blade A51	1661
samsung	SM-N981N	2395
OPPO	A101OP	1147
HUAWEI	ALP-L29	740
OPPO	CPH2223	4830
motorola	moto e(6s)	774
TECNO MOBILE LIMITED	TECNO KG5j	385
incar	ADT_1061	118
TCL	9150S	1580
HMD Global	Nokia T20	4380
onn	100110603	3627
vivo	vivo 1806	1750
vivo	vivo 2019	841
vivo	I2126	877
Blackview	Tab 80	2861
TechLife	TLPAD002	470
Xiaomi	22101320C	113
motorola	Lenovo K15 Plus	334
ZUUM	AURA_Z	69
Kruger_Matz	Eagle_1074	159
COMPAQ	QTAB10.1	163
samsung	SM-T810	950
Greatwall	QT10	7
OPPO	PHQ110	2
samsung	SCG27	51
Premier Code (PRIVATE) LIMITED	DS-BD3	246
vivo	V2451	200
samsung	SM-N975C	218
TCL	T507A	61
Casper	VIA A40	602
LENOVO	Lenovo TB-X505F	403
LENOVO	TB372FC	635
samsung	SM-X816B	278
incar	M51	29
incar	TAB10_PRO	1
OANGCC	A6_EEA	12
Xiaomi	vida	28
BQmobile	BQ-6761	34
HOTWAV	Note 12 EF	41
CCIT	KT5Max	17
incar	NBTB101	10
DIGMA	Optima 1415D 4G TS1294PL	26
JOYAR	TBBVNC100005207	46
OUKITEL	C18_Pro	61
Teclast	T50Max_ROW	36
Hisense	Hisense Infinity H60 5G	17
malata	Y10G001S4M_EEA	54
Pad 6 Pro	Pad 6 Pro	8
FISE	Q624	7
VTEX	VK102W	2
IQU	IQU SmartEasy T8w	6
Sony	SO-04H	4
FANGOR	F-X10	2
motorola	penangf	1
FOSSiBOT	YQ11M	8
incar	Y105	6
SPA Condor Electronics	Plume L5 Pro	2
Xiaomi	23124RA7EO	90370
samsung	SM-G998U1	2098
samsung	SM-M556B	2799
Xiaomi	24048RN6CG	23169
TECNO MOBILE LIMITED	TECNO KG5n	18638
HUAWEI	d-02K	1578
ITEL MOBILE LIMITED	itel L6006	1582
Wingtech	TMRV07P5G	371
vivo	V2131	4791
Google	brya	304
TCL	A509DL	2271
TCL	T434W	164
motorola	motorola one 5G UW ace	1239
vivo	vivo 1951	3590
vivo	vivo 1916	1591
samsung	SM-T590	5734
Ulefone	Note 14	149
ACE France	BUZZ 4	94
Teclast	P30S_W_EEA	632
samsung	SM-M305M	876
realme	RMX5070	2177
HUAWEI	BAH-L09	675
ZONKO	K118	116
Meizu	16	510
samsung	SM-N950W	123
incar	RVPVK808	4
Xiaomi	2412DPC0AI	215
Alldocube	iPlay_30	82
BNCF	BPad_10_4G	63
incar	CP80	40
Rebecco	K70i_EEA	166
ZTE	ZTE Blade A35 Lite	19
AGS888ultra	AGS888ultra	85
TCL	9296Q	231
Vestel	Venus Z20	37
Cherry Mobile	A950	57
incar	PMT4791_4G_RU	13
MyPhone	myT10	8
alps	I25 Ultra	43
VANKYO	TB-VS100U	8
Skyth	Z138-US	46
bq	Aquaris M10 FHD	6
HUAWEI	EBG-AN10	4
alps	A15 Pro Max	2
Lunnen	Lunnen Ground 11	26
Sky	Elite OctaPlus	1
hena	SmartPad_E220	3
ATAB10-1224	ATAB10-1224	9
PANASONIC	TAB-A05-BA1	6
HTC	HTC Desire 728 dual sim	9
HONOR	ROD2-W69	1
motorola	XT1562	7
LENOVO	Lenovo Yoga Tab 3 Plus Wi-Fi	1
Tabi_by_T_GO	EUTB_758G_TABI_Argos_KIDS	4
MobiWire	E55	1
TablePC	M11	2
deejoy	GWAT8-1	1
samsung	SM-F721W	95
Teclast	P30T_ROW	1023
Xiaomi	Redmi Note 8T	22358
samsung	SM-M356B	14065
LGE	LM-G820	1135
motorola	motorola one fusion+	3754
samsung	SM-G986W	1528
SHARP	SH-51C	1801
realme	RMX3709	1448
ZTE	ZTE 9045	727
Coosea	SN509C	1334
OPPO	OPPO A83t	621
TECNO	TECNO CL8	1002
HONOR	FNE-NX9	7083
FCNT	F-51B	2744
TECNO	TECNO CLA6	1865
Sony	SOG09	321
LENOVO	Lenovo TB-X6C6X	1571
vivo	vivo 1920_20	612
Moorechip	Retroid Pocket 4 Pro	99
samsung	SM-A510F	1347
samsung	SM-N975W	824
VALE	V10E-LTE-464	89
Hisense	Hisense Infinity H50	97
samsung	SM-G981W	754
vivo	vivo Y20s[G]	44
HTC	HTC Desire 19+	18
HMD Global	Nokia X20	343
bnd	J8_EEA	18
LENOVO	Lenovo P2a42	189
Anbernic	RG505	425
asus	ASUS_Z01QD	81
OUKITEL	WP5	89
S10	S10	5
HUAWEI	WKG-LX9	81
OnePlus	GM1903	126
samsung	SM-A366N	128
